doc_id,majortopic,sim,nbPrediction
17810,15,2,13.0
21629,19,2,17.0
8405,19,2,17.0
9031,12,2,10.0
20263,15,2,18.0
5385,15,2,13.0
11273,15,2,13.0
12168,18,2,17.0
17046,16,2,14.0
27226,19,2,14.0
7925,20,2,18.0
18365,19,2,17.0
25049,20,2,18.0
3773,20,2,0.0
8433,20,2,18.0
17134,13,2,11.0
29969,19,2,17.0
7351,19,2,17.0
29843,16,2,14.0
26985,15,2,13.0
21073,16,2,14.0
16241,10,2,7.0
23613,1,2,0.0
29299,3,2,2.0
16414,20,2,2.0
2914,20,2,18.0
12985,3,2,2.0
5795,19,2,17.0
10134,17,2,15.0
11684,20,2,18.0
15013,19,2,17.0
12419,19,2,17.0
17517,19,2,17.0
17143,12,2,8.0
20583,19,2,15.0
15286,18,2,20.0
26872,20,2,18.0
10097,6,2,5.0
11078,19,2,17.0
17144,3,2,2.0
25582,16,2,14.0
26680,19,2,14.0
14615,20,2,0.0
3803,16,2,14.0
17338,12,2,10.0
30170,6,2,8.0
14165,19,2,17.0
1366,19,2,17.0
24123,16,2,14.0
5929,19,2,17.0
7181,12,2,10.0
28055,10,2,4.0
22615,16,2,14.0
21306,16,2,14.0
23984,7,2,14.0
17577,19,2,17.0
21029,20,2,18.0
9382,21,2,19.0
30839,14,2,17.0
16279,1,2,0.0
24528,100,2,20.0
4882,19,2,20.0
7980,19,2,20.0
6860,2,2,1.0
12301,16,2,14.0
24836,20,2,18.0
20996,100,2,20.0
545,19,2,8.0
29135,19,2,17.0
21812,20,2,20.0
22635,16,2,14.0
10152,19,2,17.0
22389,19,2,17.0
26601,19,2,17.0
2983,3,2,2.0
4823,5,2,9.0
3244,1,2,0.0
19097,100,2,20.0
13601,19,2,17.0
12897,20,2,18.0
24612,16,2,14.0
17945,15,2,13.0
10892,2,2,1.0
1850,20,2,18.0
26043,16,2,14.0
28005,20,2,18.0
5965,6,2,5.0
18854,2,2,1.0
10029,16,2,17.0
12980,100,2,20.0
9400,18,2,14.0
14040,18,2,16.0
25047,12,2,10.0
16836,16,2,14.0
13652,19,2,17.0
27470,16,2,14.0
537,8,2,7.0
14723,6,2,15.0
11943,100,2,5.0
14691,19,2,17.0
20119,16,2,14.0
5839,13,2,18.0
4557,20,2,18.0
29256,15,2,7.0
1975,100,2,20.0
30325,100,2,1.0
18271,20,2,18.0
22351,2,2,20.0
7172,3,2,14.0
28980,16,2,14.0
22702,5,2,2.0
28989,21,2,19.0
28275,3,2,2.0
25504,20,2,18.0
6192,100,2,20.0
29458,12,2,17.0
24091,16,2,14.0
1201,16,2,14.0
414,20,2,18.0
