category,precision_nb,recall_nb,precision_rf,recall_rf,precision_lasso,recall_lasso,precision_svm,recall_svm
1. Macroeconomics,0.67,0.73,0.67,0.7,0.8,0.6,0.78,0.75
2. Civil Rights,0.53,0.49,0.2,0.8,0.84,0.36,0.64,0.5
3. Health,0.75,0.76,0.74,0.65,0.76,0.76,0.78,0.75
4. Agriculture,0.58,0.52,0.02,1,0.74,0.32,0.81,0.49
5. Labor,0.38,0.3,0.02,0.17,0.46,0.25,0.48,0.45
6. Education,0.76,0.7,0.85,0.67,0.78,0.78,0.81,0.8
7. Environment,0.58,0.52,0.12,0.8,0.7,0.24,0.69,0.51
8. Energy,0.71,0.66,0.29,0.88,0.88,0.6,0.8,0.67
9. Immigration,0.56,0.47,0.32,0.77,0.88,0.52,0.72,0.61
10. Transportation,0.67,0.65,0.36,0.77,0.72,0.44,0.71,0.64
12. Law and Crime,0.65,0.63,0.55,0.61,0.66,0.57,0.66,0.69
13. Social Welfare,0.51,0.45,0.42,0.89,0.69,0.62,0.77,0.63
14. Housing,0.38,0.32,0.18,0.78,0.83,0.32,0.52,0.39
15. Domestic Commerce,0.58,0.59,0.5,0.55,0.62,0.46,0.63,0.61
16. Defense,0.74,0.74,0.82,0.69,0.74,0.76,0.76,0.78
17. Technology,0.61,0.56,0.22,0.69,0.66,0.32,0.65,0.54
18. Foreign Trade,0.46,0.47,0.04,1,0.73,0.42,0.71,0.56
19. International Affairs,0.78,0.74,0.75,0.7,0.59,0.8,0.78,0.78
20. Government Operations,0.78,0.81,0.86,0.69,0.76,0.84,0.79,0.85
21. Public Lands,0.38,0.32,0.06,0.6,0.64,0.19,0.51,0.34
100. Other,0.56,0.69,0.69,0.5,0.58,0.67,0.63,0.74
NA,0.6,0.58,0.41,0.71,0.72,0.52,0.7,0.62
