verdict,one_v2,zero_v2,total_result_v2,n_items_v2,precision_v2,recall_v2,num_classified,num_sample,num_non_sample,num_correct,num_incorrect,num_added_to_training
1,629,0,629,944,1,0.6661742965508316,991,747,244,629,118,629
2,363,0,363,873,1,0.4156585929837552,526,471,55,363,108,363
3,1234,3,1237,1775,0.9976359338061466,0.6951758977661642,2390,1411,979,1220,191,1237
4,65,0,65,178,1,0.3662004930313756,75,75,0,65,10,65
5,63,0,63,284,1,0.22252586999081067,98,98,0,63,35,63
6,640,0,640,884,1,0.7240791476407915,942,720,222,640,80,640
7,136,0,136,321,1,0.427212606635804,170,170,0,136,34,136
8,153,0,153,293,1,0.5336869401225837,179,179,0,153,26,153
9,105,0,105,308,1,0.3427343965923686,134,134,0,105,29,105
10,377,0,377,642,1,0.5865920994719434,552,478,74,377,101,377
12,987,0,987,2003,1,0.49343761544304043,1883,1194,689,987,207,987
13,97,0,97,268,1,0.3588848146208021,123,123,0,97,26,97
14,79,0,79,397,1,0.19912050176950838,118,118,0,79,39,79
15,553,0,553,1217,1,0.45413982730512253,947,732,215,553,179,553
16,3036,193,3229,4262,0.9401958852776728,0.7122971062020589,8157,2581,5576,2077,504,3229
17,307,0,307,663,1,0.4642334394177443,385,384,1,307,77,307
18,87,0,87,247,1,0.352474182444062,109,109,0,87,22,87
19,4111,237,4348,5848,0.9455081576546982,0.7029811396994257,10921,2878,8043,2459,419,4348
20,2858,102,2960,3778,0.9656067615013555,0.7563755955697775,6955,2409,4546,2105,304,2960
21,44,0,44,227,1,0.19460699942627654,69,69,0,44,25,44
100,1672,35,1707,3135,0.979508521648602,0.5333268897962816,4054,1952,2102,1522,430,1707
NA,17596,570,18166,28547,0.968622701750523,0.6163870108943147,NA,NA,NA,NA,NA,NA
