id;text_type
1;article
2;caption
3;article
4;article
5;article
6;article
7;article
8;article
9;article
10;caption
11;article
12;article
13;article
14;article
15;article
16;article
17;article
18;article
19;caption
20;article
21;article
22;article
23;caption
24;article
25;article
26;caption
27;article
28;article
29;article
30;article
31;article
32;article
33;article
34;article
35;article
36;article
37;article
38;article
39;article
40;article
41;article
42;article
43;article
44;article
45;article
46;article
47;article
48;article
49;caption
50;article
51;article
52;article
53;article
54;article
55;article
56;article
57;article
58;article
59;article
60;article
61;article
62;article
63;article
64;article
65;article
66;article
67;article
68;article
69;caption
70;article
71;article
72;article
73;article
74;article
75;article
76;article
77;article
78;article
79;article
80;article
81;article
82;article
83;article
84;article
85;caption
86;article
87;article
88;caption
89;article
90;article
91;article
92;article
93;article
94;article
95;article
96;article
97;article
98;article
99;article
100;article
101;article
102;article
103;article
104;article
105;article
106;article
107;article
108;article
109;article
110;article
111;article
112;article
113;article
114;article
115;article
116;article
117;article
118;article
119;caption
120;article
121;article
122;article
123;caption
124;article
125;article
126;article
127;article
128;article
129;article
130;article
131;article
132;article
133;article
134;article
135;article
136;article
137;article
138;article
139;article
140;article
141;article
142;article
143;article
144;article
145;article
146;caption
147;article
148;article
149;caption
150;article
151;article
152;article
153;article
154;article
155;article
156;article
157;article
158;article
159;article
160;article
161;caption
162;article
163;article
164;article
165;article
166;article
167;article
168;article
169;article
170;article
171;article
172;article
173;article
174;article
175;article
176;article
177;article
178;article
179;article
180;article
181;article
182;article
183;article
184;article
185;article
186;article
187;article
188;article
189;article
190;article
191;article
192;article
193;article
194;article
195;article
196;article
197;article
198;article
199;article
200;article
201;article
202;article
203;article
204;article
205;article
206;article
207;article
208;article
209;article
210;article
211;article
212;article
213;article
214;article
215;article
216;article
217;article
218;article
219;article
220;article
221;article
222;caption
223;article
224;article
225;article
226;article
227;article
228;article
229;caption
230;article
231;article
232;article
233;article
234;article
235;article
236;caption
237;article
238;article
239;article
240;article
241;article
242;article
243;article
244;article
245;article
246;article
247;article
248;article
249;article
250;article
251;caption
252;article
253;article
254;article
255;article
256;article
257;article
258;article
259;article
260;article
261;article
262;article
263;article
264;article
265;article
266;article
267;article
268;article
269;article
270;article
271;article
272;article
273;article
274;article
275;article
276;article
277;article
278;article
279;article
280;article
281;caption
282;article
283;article
284;article
285;article
286;article
287;article
288;article
289;article
290;article
291;article
292;article
293;article
294;article
295;article
296;caption
297;article
298;article
299;article
300;article
301;article
302;article
303;article
304;article
305;article
306;article
307;article
308;article
309;article
310;article
311;caption
312;article
313;article
314;article
315;article
316;article
317;article
318;article
319;article
320;article
321;article
322;article
323;article
324;article
325;article
326;article
327;article
328;article
329;article
330;article
331;article
332;article
333;article
334;article
335;article
336;article
337;caption
338;article
339;article
340;article
341;article
342;article
343;article
344;caption
345;article
346;article
347;article
348;article
349;article
350;article
351;article
352;article
353;article
354;article
355;article
356;article
357;article
358;article
359;article
360;article
361;article
362;article
363;article
364;article
365;caption
366;article
367;article
368;article
369;article
370;article
371;caption
372;article
373;article
374;article
375;article
376;article
377;article
378;article
379;article
380;article
381;article
382;article
383;article
384;article
385;article
386;article
387;article
388;article
389;article
390;article
391;article
392;article
393;caption
394;article
395;article
396;article
397;article
398;article
399;article
400;article
401;article
402;article
403;article
404;article
405;article
406;article
407;article
408;article
409;article
410;article
411;article
412;article
413;article
414;article
415;article
416;article
417;article
418;article
419;article
420;article
421;article
422;article
423;caption
424;article
425;article
426;article
427;article
428;article
429;article
430;article
431;article
432;article
433;article
434;caption
435;article
436;article
437;article
438;article
439;article
440;article
441;article
442;article
443;caption
444;article
445;article
446;article
447;article
448;article
449;article
450;article
451;article
452;article
453;article
454;article
455;article
456;article
457;article
458;article
459;article
460;article
461;article
462;article
463;article
464;article
465;article
466;article
467;article
468;article
469;article
470;article
471;article
472;caption
473;article
474;article
475;article
476;article
477;article
478;article
479;article
480;article
481;article
482;caption
483;article
484;article
485;article
486;article
487;article
488;article
489;article
490;caption
491;article
492;article
493;article
494;article
495;article
496;article
497;article
498;article
499;article
500;article
501;article
502;article
503;article
504;article
505;article
506;article
507;article
508;article
509;article
510;article
511;article
512;article
513;article
514;article
515;article
516;article
517;article
518;article
519;article
520;article
521;article
522;article
523;article
524;article
525;article
526;article
527;article
528;article
529;article
530;article
531;article
532;article
533;article
534;article
535;caption
536;article
537;article
538;article
539;article
540;article
541;article
542;article
543;article
544;article
545;article
546;article
547;article
548;article
549;article
550;article
551;article
552;article
553;article
554;article
555;article
556;article
557;article
558;caption
559;article
560;article
561;article
562;article
563;article
564;caption
565;article
566;article
567;article
568;article
569;article
570;article
571;article
572;article
573;article
574;article
575;article
576;article
577;article
578;article
579;article
580;article
581;article
582;article
583;article
584;article
585;article
586;article
587;article
588;article
589;article
590;article
591;article
592;article
593;article
594;article
595;article
596;article
597;article
598;caption
599;article
600;article
601;article
602;article
603;article
604;article
605;article
606;article
607;article
608;caption
609;article
610;article
611;article
612;article
613;article
614;article
615;article
616;caption
617;article
618;article
619;article
620;article
621;caption
622;article
623;article
624;article
625;article
626;article
627;article
628;article
629;article
630;article
631;caption
632;article
633;article
634;caption
635;article
636;article
637;article
638;article
639;article
640;article
641;article
642;article
643;article
644;article
645;article
646;article
647;article
648;article
649;article
650;article
651;article
652;article
653;article
654;article
655;article
656;article
657;article
658;article
659;article
660;article
661;article
662;article
663;article
664;article
665;article
666;caption
667;article
668;article
669;article
670;article
671;article
672;article
673;article
674;article
675;article
676;article
677;article
678;article
679;article
680;article
681;article
682;article
683;article
684;caption
685;article
686;article
687;article
688;article
689;article
690;article
691;article
692;article
693;article
694;article
695;caption
696;article
697;article
698;article
699;article
700;article
701;article
702;article
703;article
704;article
705;article
706;article
707;article
708;article
709;caption
710;article
711;article
712;article
713;article
714;article
715;article
716;caption
717;article
718;article
719;article
720;article
721;article
722;article
723;article
724;article
725;article
726;article
727;article
728;article
729;caption
730;article
731;article
732;article
733;article
734;article
735;article
736;article
737;article
738;article
739;article
740;article
741;article
742;article
743;article
744;caption
745;article
746;caption
747;article
748;article
749;article
750;article
751;article
752;article
753;article
754;article
755;article
756;article
757;article
758;article
759;article
760;article
761;article
762;caption
763;article
764;article
765;article
766;article
767;article
768;article
769;article
770;article
771;article
772;article
773;article
774;article
775;caption
776;article
777;article
778;article
779;article
780;article
781;article
782;caption
783;article
784;article
785;article
786;article
787;article
788;article
789;article
790;article
791;article
792;article
793;article
794;article
795;article
796;article
797;article
798;article
799;caption
800;caption
801;article
802;article
803;article
804;article
805;article
806;article
807;caption
808;article
809;article
810;article
811;article
812;article
813;article
814;article
815;article
816;article
817;article
818;article
819;article
820;article
821;article
822;article
823;article
824;article
825;article
826;article
827;article
828;article
829;article
830;article
831;article
832;article
833;article
834;article
835;article
836;article
837;article
838;article
839;article
840;article
841;article
842;article
843;article
844;article
845;article
846;article
847;article
848;article
849;article
850;article
851;article
852;caption
853;article
854;article
855;article
856;caption
857;article
858;article
859;article
860;article
861;article
862;caption
863;article
864;article
865;article
866;article
867;article
868;article
869;article
870;article
871;article
872;article
873;article
874;article
875;article
876;article
877;article
878;caption
879;article
880;article
881;article
882;article
883;article
884;article
885;article
886;article
887;article
888;article
889;article
890;article
891;article
892;article
893;article
894;article
895;article
896;caption
897;article
898;article
899;article
900;article
901;article
902;caption
903;article
904;article
905;article
906;article
907;article
908;article
909;article
910;article
911;article
912;article
913;article
914;article
915;article
916;article
917;article
918;article
919;article
920;article
921;article
922;article
923;caption
924;article
925;article
926;article
927;article
928;article
929;article
